S1|D: 0.269m,0062|348|273.984626|30.0000000|105.0000000
S2|D: 0.306m,0052|349|273.990628|230.0000000|105.0000000
M2|done|120.00|350|0|     274.277132
M3|done|120.00|351|0|     274.279565
S1|D: 0.289m,0075|352|274.878805|30.0000000|120.0000000
S2|D: 0.329m,0062|353|274.880768|230.0000000|120.0000000
M2|done|135.00|354|0|     275.167088
M3|done|135.00|355|0|     275.169568
S1|D: 0.335m,0076|356|275.769618|30.0000000|135.0000000
S2|D: 0.379m,0054|357|275.770630|230.0000000|135.0000000
M3|done|150.00|359|0|     276.061983
M2|done|150.00|358|0|     276.058972
S1|D: 0.285m,0068|360|276.663665|30.0000000|150.0000000
S2|D: 0.318m,0055|361|276.670621|230.0000000|150.0000000
M2|done|165.00|362|0|     276.957242
M3|done|165.00|363|1|     276.968321
M1|done|35.00|364|0|     277.133429
S2|D: 0.089m,0144|366|278.120819|235.0000000|165.0000000
S1|D: 0.076m,0184|365|278.869386|35.0000000|165.0000000
M2|done|165.00|367|0|     278.870192
M3|done|165.00|368|1|     278.879518
S2|D: 0.088m,0134|370|279.860640|235.0000000|165.0000000
S1|D: 0.076m,0206|369|280.615771|35.0000000|165.0000000
M2|done|150.00|371|0|     280.902576
M3|done|150.00|372|0|     280.904672
S1|D: 0.284m,0055|373|281.504645|35.0000000|150.0000000
S2|D: 0.318m,0067|374|281.513610|235.0000000|150.0000000
M2|done|135.00|375|0|     281.799861
M3|done|135.00|376|0|     281.803580
S1|D: 0.338m,0076|377|282.403000|35.0000000|135.0000000
S2|D: 0.386m,0057|378|282.413878|235.0000000|135.0000000
M2|done|120.00|379|0|     282.701393
M3|done|120.00|380|0|     282.704574
S1|D: 0.291m,0081|381|283.304630|35.0000000|120.0000000
S2|D: 0.335m,0054|382|283.303711|235.0000000|120.0000000
M2|done|105.00|383|0|     283.591743
M3|done|105.00|384|0|     283.596294
S1|D: 0.271m,0062|385|284.195620|35.0000000|105.0000000
S2|D: 0.312m,0047|386|284.204842|235.0000000|105.0000000
M2|done|90.00|387|0|     284.491154
M3|done|90.00|388|0|     284.496642
S1|D: 0.268m,0055|389|285.095473|35.0000000|90.0000000
S2|D: 0.307m,0052|390|285.104699|235.0000000|90.0000000
M2|done|75.00|391|0|     285.391146
M3|done|75.00|392|0|     285.395792
S1|D: 0.282m,0071|393|285.994924|35.0000000|75.0000000
S2|D: 0.323m,0049|394|286.004562|235.0000000|75.0000000
M2|done|60.00|395|0|     286.292620
M3|done|60.00|396|0|     286.293595
